#,title,acRate,difficulty,freq,likes,dislikes,link
364,Nested List Weight Sum II,64.877788,Medium,66.298197,758,222,https://leetcode.com/problems/nested-list-weight-sum-ii/
380,Insert Delete GetRandom O(1),49.587066,Medium,89.522674,3791,218,https://leetcode.com/problems/insert-delete-getrandom-o1/
387,First Unique Character in a String,54.595721,Easy,64.411421,3182,153,https://leetcode.com/problems/first-unique-character-in-a-string/
394,Decode String,53.670609,Medium,75.465611,5393,249,https://leetcode.com/problems/decode-string/
415,Add Strings,49.293851,Easy,86.375743,1956,406,https://leetcode.com/problems/add-strings/
417,Pacific Atlantic Water Flow,45.109208,Medium,51.885225,2373,606,https://leetcode.com/problems/pacific-atlantic-water-flow/
426,Convert Binary Search Tree to Sorted Doubly Linked List,62.249806,Medium,58.134723,1467,126,https://leetcode.com/problems/convert-binary-search-tree-to-sorted-doubly-linked-list/
442,Find All Duplicates in an Array,69.750508,Medium,51.050722,3858,188,https://leetcode.com/problems/find-all-duplicates-in-an-array/
445,Add Two Numbers II,57.057895,Medium,65.776237,2545,202,https://leetcode.com/problems/add-two-numbers-ii/
498,Diagonal Traverse,51.539385,Medium,53.547564,1389,429,https://leetcode.com/problems/diagonal-traverse/
503,Next Greater Element II,59.460443,Medium,52.281906,2786,96,https://leetcode.com/problems/next-greater-element-ii/
509,Fibonacci Number,67.797946,Easy,50.263091,1543,229,https://leetcode.com/problems/fibonacci-number/
518,Coin Change 2,53.214691,Medium,60.040237,3383,79,https://leetcode.com/problems/coin-change-2/
523,Continuous Subarray Sum,25.332266,Medium,57.196805,436,83,https://leetcode.com/problems/continuous-subarray-sum/
529,Minesweeper,62.292457,Medium,64.485451,973,691,https://leetcode.com/problems/minesweeper/
543,Diameter of Binary Tree,50.508046,Easy,65.293912,5127,315,https://leetcode.com/problems/diameter-of-binary-tree/
547,Number of Provinces,61.398718,Medium,69.863882,3305,190,https://leetcode.com/problems/number-of-provinces/
560,Subarray Sum Equals K,43.682294,Medium,89.201356,8048,271,https://leetcode.com/problems/subarray-sum-equals-k/
616,Add Bold Tag in String,45.355063,Medium,50.307333,688,102,https://leetcode.com/problems/add-bold-tag-in-string/
621,Task Scheduler,52.814472,Medium,69.000872,5115,963,https://leetcode.com/problems/task-scheduler/
647,Palindromic Substrings,63.040588,Medium,52.354838,4616,141,https://leetcode.com/problems/palindromic-substrings/
680,Valid Palindrome II,37.361133,Easy,80.853960,2839,180,https://leetcode.com/problems/valid-palindrome-ii/
692,Top K Frequent Words,53.529583,Medium,69.440326,3242,211,https://leetcode.com/problems/top-k-frequent-words/
695,Max Area of Island,66.749619,Medium,76.807487,3747,114,https://leetcode.com/problems/max-area-of-island/
696,Count Binary Substrings,61.605436,Easy,77.823945,1785,299,https://leetcode.com/problems/count-binary-substrings/
697,Degree of an Array,54.794780,Easy,51.551331,1447,1005,https://leetcode.com/problems/degree-of-an-array/
706,Design HashMap,63.929147,Easy,74.024466,1680,183,https://leetcode.com/problems/design-hashmap/
